city,state,zipcode,address,scan_date
Sylvan Springs,AL,35118,"5704 Birmingport Rd, Sylvan Springs, AL 35118",2022-11-09 18:03:43
Birmingham,AL,35235,"5915 Trussville Crossings Pkwy, Birmingham, AL 35235",2022-11-09 18:03:43
Birmingham,AL,35205,"1427 14th Ave S, Birmingham, AL 35205",2022-11-09 18:03:43
Bessemer,AL,35020,"501 West Town Plaza, Bessemer, AL 35020",2022-11-09 18:03:43
Guntersville,AL,35976,"12383 U.S. 431, Guntersville, AL 35976",2022-11-09 18:03:43
Alabaster,AL,35007,"245 S. Colonial Drive, Alabaster, AL 35007",2022-11-09 18:03:43
Arab,AL,35016,"2312 N Brindlee Mtn Pkway, Arab, AL 35016",2022-11-09 18:03:43
Birmingham,AL,35204,"541-B Graymont Ave, Birmingham, AL 35204",2022-11-09 18:03:43
Birmingham,AL,35215,"9870 Parkway East, Birmingham, AL 35215",2022-11-09 18:03:43
Birmingham,AL,35203,"719 5th Avenue North, Birmingham, AL 35203",2022-11-09 18:03:43
Hoover,AL,35216,"3321 Lorna Rd, Hoover, AL 35216",2022-11-09 18:03:43
Birmingham,AL,35205,"1207 20th St S, Birmingham, AL 35205",2022-11-09 18:03:43
Birmingham,AL,35234,"2520 12th Ave. N, Birmingham, AL 35234",2022-11-09 18:03:43
Sardis City,AL,35956,"12982 U.S. 431, Sardis City, AL 35956",2022-11-09 18:03:43
Dothan,AL,36303,"3320 Montgomery Highway, Dothan, AL 36303",2022-11-09 18:03:43
Birmingham,AL,35215,"1671 Center Point Pkwy Suite 113, Birmingham, AL 35215",2022-11-09 18:03:43
Hueytown,AL,35023,"3064 Warrior River Road, Hueytown, AL 35023",2022-11-09 18:03:43
Fultondale,AL,35068,"1709 Fulton Rd, Fultondale, AL 35068",2022-11-09 18:03:43
Hoover,AL,35226,"2341 John Hawkins Parkway, Suite 117, Hoover, AL 35226",2022-11-09 18:03:43
Birmingham,AL,35209,"22 Green Springs Highway, Birmingham, AL 35209",2022-11-09 18:03:43
Dolomite,AL,35061,"794 Allison-Bonnett Memorial Drive, Dolomite, AL 35061",2022-11-09 18:03:43
Birmingham,AL,35213,"7001 Crestwood Blvd, Ste 114, Birmingham, AL 35213",2022-11-09 18:03:43
Gadsden,AL,35904,"1724 W. Grand Ave., Gadsden, AL 35904",2022-11-09 18:03:43
Guntersville,AL,35976,"11635 Us Highway 431, Guntersville, AL 35976",2022-11-09 18:03:43
Hoover,AL,35244,"2000 Riverchase Galleria, 158, Hoover, AL 35244",2022-11-09 18:03:43
Birmingham,AL,35215,"4817 Pinson Valley Pkwy, Birmingham, AL 35215",2022-11-09 18:03:43
Hoover,AL,35244,"3020 John Hawkins Pkwy, Hoover, AL 35244",2022-11-09 18:03:43
